seed,training_source,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1301,validation_only,multinomial_logistic,alert_context,1536,2304,22,22,0.1154513888888889,0.2934027777777778,0.059281236896317244,0.012827875218742216,0.07210911211505946,0.17789534280041713,13
1302,validation_only,multinomial_logistic,alert_context,1536,2304,22,22,0.17838541666666666,0.3337673611111111,0.04016767787268489,0.010498587339599099,0.050666265212283984,0.20721060247112366,12
1303,validation_only,multinomial_logistic,alert_context,1536,2304,22,22,0.10894097222222222,0.32421875,0.046287641006832324,0.0032465073228296285,0.04953414832966195,0.06554079220709162,14
1304,validation_only,multinomial_logistic,alert_context,1536,2304,22,22,0.2287326388888889,0.3763020833333333,0.043782876354978524,0.008248102932055997,0.05203097928703452,0.1585229231714907,12
1305,validation_only,multinomial_logistic,alert_context,1536,2304,22,22,0.2864583333333333,0.4466145833333333,0.032309652681255505,0.0062986585673772645,0.038608311248632766,0.16314255567446811,12
1301,validation_only,ridge_cost_regression,alert_context,1536,2304,22,22,0.0681423611111111,,0.06658115792217562,0.005527954192883853,0.07210911211505946,0.07666096601027736,13
1302,validation_only,ridge_cost_regression,alert_context,1536,2304,22,22,0.1584201388888889,,0.041798973604778036,0.008867291607505951,0.050666265212283984,0.1750137210696968,12
1303,validation_only,ridge_cost_regression,alert_context,1536,2304,22,22,0.24913194444444445,,0.03673398798370423,0.012800160345957719,0.04953414832966195,0.25841082924792613,14
1304,validation_only,ridge_cost_regression,alert_context,1536,2304,22,22,0.22395833333333334,,0.0417138607137733,0.010317118573261216,0.05203097928703452,0.19828799524117577,12
1305,validation_only,ridge_cost_regression,alert_context,1536,2304,22,22,0.12456597222222222,,0.03660831293543904,0.001999998313193728,0.038608311248632766,0.051802273876057035,12
1301,validation_only,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.10807291666666667,,0.052212794786707185,0.019896317328352273,0.07210911211505946,0.2759195994065925,13
1302,validation_only,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.16883680555555555,,0.03196082016802393,0.01870544504426006,0.050666265212283984,0.36918934059747793,12
1303,validation_only,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.07725694444444445,,0.04055121601494546,0.008982932314716486,0.04953414832966195,0.18134827422352878,14
1304,validation_only,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.1970486111111111,,0.04148952845328798,0.010541450833746543,0.05203097928703452,0.2025995085657237,12
1305,validation_only,extra_trees_cost_regression,complete_online_state,1536,2304,22,22,0.1644965277777778,,0.03370370628221685,0.004904604966415922,0.038608311248632766,0.12703495200375045,12
1301,validation_only,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.1015625,0.2265625,0.06231812068856218,0.009790991426497283,0.07210911211505946,0.1357802244309219,13
1302,validation_only,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.13411458333333334,0.2873263888888889,0.04965019100280996,0.001016074209474026,0.050666265212283984,0.020054255138341633,12
1303,validation_only,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.18663194444444445,0.3619791666666667,0.05002597281903339,-0.0004918244893714391,0.04953414832966195,-0.009928998599072019,14
1304,validation_only,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.22569444444444445,0.3385416666666667,0.04354781861507541,0.008483160671959113,0.05203097928703452,0.1630405729087058,12
1305,validation_only,hist_gradient_boosting,complete_online_state,1536,2304,22,22,0.2651909722222222,0.4296875,0.03340757604908302,0.005200735199549753,0.038608311248632766,0.13470506819264016,12
1301,validation_only,multinomial_logistic,complete_online_state,1536,2304,22,22,0.10199652777777778,0.2035590277777778,0.059562139161345035,0.01254697295371443,0.07210911211505946,0.1739998258984815,13
1302,validation_only,multinomial_logistic,complete_online_state,1536,2304,22,22,0.08116319444444445,0.2269965277777778,0.055880033996395975,-0.005213768784111988,0.050666265212283984,-0.10290414662038115,12
1303,validation_only,multinomial_logistic,complete_online_state,1536,2304,22,22,0.1484375,0.3342013888888889,0.052520002021790586,-0.002985853692128637,0.04953414832966195,-0.06027869243369333,14
1304,validation_only,multinomial_logistic,complete_online_state,1536,2304,22,22,0.1818576388888889,0.3324652777777778,0.040865188328704484,0.011165790958330035,0.05203097928703452,0.21459890071898788,12
1305,validation_only,multinomial_logistic,complete_online_state,1536,2304,22,22,0.13975694444444445,0.3168402777777778,0.0387834874757876,-0.00017517622715482954,0.038608311248632766,-0.0045372672745698775,12
1301,validation_only,ridge_cost_regression,complete_online_state,1536,2304,22,22,0.08680555555555555,,0.06423529049950755,0.007873821615551911,0.07210911211505946,0.10919315721136887,13
1302,validation_only,ridge_cost_regression,complete_online_state,1536,2304,22,22,0.0859375,,0.04312806147047215,0.007538203741811835,0.050666265212283984,0.1487815158711206,12
1303,validation_only,ridge_cost_regression,complete_online_state,1536,2304,22,22,0.1328125,,0.04767253209461665,0.0018616162350453007,0.04953414832966195,0.037582481940656096,14
1304,validation_only,ridge_cost_regression,complete_online_state,1536,2304,22,22,0.1484375,,0.043839035206474364,0.008191944080560157,0.05203097928703452,0.15744358827782987,12
1305,validation_only,ridge_cost_regression,complete_online_state,1536,2304,22,22,0.10199652777777778,,0.03618440488935448,0.002423906359278289,0.038608311248632766,0.06278198348714686,12
